latitude,longitude,Entire home,accommodates,bathrooms,bedrooms,beds,cleaning_fee,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable,price
34.10060443,-118.3417875,0,2,1,1,1,40 ,1,261,96,1,100
34.10060718,-118.3505835,1,8,2,2,2,100 ,2,10,98,0,300
34.10061034,-118.3476174,1,2,1,1,1,80 ,2,1,100,1,125
34.10061106,-118.3421797,1,3,1,0,2,55 ,2,54,97,1,169
34.10061776,-118.3427912,1,4,1,1,1,70 ,2,233,92,1,119
34.10061858,-118.3164814,1,2,1,1,1,50 ,1,2,100,0,80
34.10064054,-118.3257362,1,5,1,0,3,99 ,1,6,87,1,199
34.10064821,-118.341377,0,2,2,1,9,15 ,2,8,83,0,20
34.10064842,-118.3273315,1,4,1,1,2,70 ,1,144,97,1,115
34.10065032,-118.3433641,1,9,2,2,5,99 ,1,1,80,1,199
34.10065233,-118.3464334,1,2,1,0,1,60 ,1,129,98,0,90
34.10065364,-118.3499271,1,4,1,1,2,40 ,1,7,89,1,93
34.10066183,-118.3285207,1,3,1,1,2,100 ,2,7,100,1,110
34.10067363,-118.3413226,0,2,2,1,12,15 ,2,8,85,1,25
34.10067638,-118.3419051,1,3,1,1,2,100 ,3,97,97,0,159
34.10068618,-118.3485032,1,4,2,2,2,65 ,2,16,89,0,179
34.10068833,-118.3440516,1,6,2,2,3,90 ,1,1,100,1,280
34.1006953,-118.3323918,1,2,1,0,2,50 ,1,4,100,1,120
34.10069807,-118.3420369,0,2,2,1,9,15 ,2,2,100,1,20
34.10070114,-118.3443228,1,4,1,1,1,55 ,2,63,90,1,125
34.10071821,-118.3316435,1,4,1,1,2,60 ,1,10,100,0,101
34.1007198,-118.3452727,0,1,2,1,1,15 ,1,60,97,1,31
34.10072187,-118.3274697,1,2,1,1,1,80 ,4,5,100,0,125
34.10072221,-118.31911,1,5,1,1,3,60 ,2,13,86,1,179
34.10072672,-118.3129367,0,2,1,1,1,25 ,3,84,93,1,63
34.10072916,-118.3247489,1,7,2,2,4,75 ,1,21,100,1,289
34.10073043,-118.3516993,1,2,1,1,1,50 ,3,23,99,0,130
