latitude,longitude,Entire home,accommodates,bathrooms,bedrooms,beds,cleaning_fee,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable,price
34.10370092,-118.3322408,1,13,2,3,2,150 ,2,1,100,1,350
34.09948362,-118.3316454,1,8,2,2,4,150 ,1,11,96,1,190
34.10432095,-118.3296619,1,4,1,0,1,55 ,1,1,80,0,85
34.10102776,-118.3178482,0,2,1,1,1,20 ,1,8,98,0,75
34.09829193,-118.32498,1,2,1,1,1,20 ,1,11,96,0,130
34.09553395,-118.3254629,1,2,1,1,1,100 ,4,31,96,0,99
34.09544403,-118.3335086,1,4,1,2,2,125 ,4,11,98,0,174
34.10071821,-118.3316435,1,4,1,1,2,60 ,1,10,100,0,101
34.09530633,-118.3229711,1,5,2,2,2,99 ,2,4,80,0,250
34.10232305,-118.3422619,1,6,1,1,3,129 ,1,105,92,1,116
34.0847923,-118.3230694,1,2,1,1,1,80 ,3,50,90,0,70
34.10320289,-118.3428817,1,3,1,1,1,60 ,1,23,90,1,130
34.10288776,-118.3395151,1,8,2,2,5,99 ,1,18,84,1,311
34.10376209,-118.336161,1,5,1,1,3,30 ,1,25,97,1,119
34.09598475,-118.3392161,1,4,1,1,1,110 ,2,5,95,1,108
34.10393793,-118.3417803,1,4,1,0,1,80 ,1,39,88,1,98
34.09624901,-118.3469306,1,2,1,0,1,200 ,31,2,60,0,93
34.08403423,-118.3121685,1,4,1,1,2,12 ,1,3,93,0,88
34.10391678,-118.3322207,0,2,1,1,1,35 ,1,232,99,1,69
34.0873794,-118.3414981,1,3,1,1,1,59 ,14,8,90,0,98
34.1048465,-118.31416,0,4,1,1,2,20 ,1,37,96,1,90
34.09239466,-118.330784,1,8,1,3,3,120 ,2,76,94,1,185
34.10403176,-118.3304552,1,2,1,0,1,31 ,1,14,87,0,120
34.08700922,-118.3222766,1,2,1,0,1,80 ,3,21,95,1,65
34.10024251,-118.3413614,1,6,1,2,5,90 ,1,3,60,0,189
34.09589698,-118.3102462,1,3,1,0,1,35 ,3,40,92,1,85
34.10158196,-118.3451229,1,4,1,1,1,250 ,31,3,93,0,123
34.10243806,-118.339307,1,5,1,1,3,79 ,1,19,97,1,179
34.08618204,-118.3144962,0,2,2,1,1,14 ,2,27,85,0,49
34.10507755,-118.3129133,1,6,1,2,3,54 ,2,29,93,1,126
34.09769659,-118.3492697,1,4,1,1,2,65 ,1,74,94,1,155
34.0987931,-118.3250528,1,2,1,0,1,55 ,2,25,83,1,134
34.09389476,-118.3380382,1,6,1,1,3,150 ,7,25,99,0,120
34.10268753,-118.3429622,1,4,1,1,2,70 ,1,50,91,0,99
34.10502067,-118.3315922,1,10,1,2,8,150 ,2,14,93,1,190
34.10175243,-118.3149395,1,7,1,1,4,90 ,1,34,90,1,109
34.10278082,-118.3472991,1,3,1,0,2,70 ,1,13,91,1,90
34.10205147,-118.3481246,1,4,1,1,3,99 ,1,36,96,1,159
34.09472413,-118.3192262,1,4,1,1,1,75 ,30,15,97,0,120
34.09421121,-118.3216523,0,1,1,1,1,30 ,2,2,100,0,62
34.08929857,-118.3224102,1,2,1,0,1,29 ,1,9,71,1,80
34.08421675,-118.329017,1,4,1,0,2,50 ,30,1,40,1,179
34.08680314,-118.310081,1,6,2,2,3,90 ,1,59,92,1,191
34.10136782,-118.3389137,1,8,2,2,4,90 ,1,24,91,1,199
34.09521265,-118.3480114,0,1,1.5,1,0,79 ,6,12,96,0,99
34.08620164,-118.3127818,0,2,1,1,1,30 ,1,21,87,0,65
34.09375124,-118.3237397,1,4,1,0,2,25 ,1,179,96,0,94
34.08561827,-118.3222883,1,3,1,0,1,80 ,3,93,91,0,80
34.09478504,-118.3359293,0,2,1,1,1,40 ,1,303,98,1,84
34.10375849,-118.329998,1,3,1,0,1,20 ,1,104,92,1,99
